trigger	scenario	tenuring_age	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
automatic	mixed	3	8388608	2	8	24576	282372541	4831838208	23	0	100913952	8602720	92311232	2651976	7026048	4134200	4194304	96	9633792	20905670	1618083	0	0	0	0
automatic	mixed	3	8388608	3	8	24576	280538625	4831838208	23	0	100913952	8602720	92311232	2651976	7026048	4134200	4194304	96	9633792	21075459	1583208	0	0	0	0
automatic	mixed	3	8388608	4	8	24576	283121916	4831838208	23	0	100913952	8602720	92311232	2651976	7026048	4134200	4194304	96	9633792	20814169	1620583	0	0	0	0
automatic	mixed	3	8388608	5	8	24576	280342042	4831838208	23	0	100913952	8602720	92311232	2651976	7026048	4134200	4194304	96	9633792	20799706	1553125	0	0	0	0
automatic	mixed	3	8388608	6	8	24576	282463459	4831838208	23	0	100913952	8602720	92311232	2651976	7026048	4134200	4194304	96	9633792	21069458	1548750	0	0	0	0
shared	mixed	1	262144	0	6	6000	134589833	432000000	132	0	35979392	1331920	34647472	1331920	1900240	322560	4194304	30	2883584	23980411	253083	132	132	132	0
shared	mixed	1	262144	1	6	6000	133816708	432000000	133	0	36234416	1337864	34896552	1337864	1651160	67536	4194304	30	2883584	24423163	239459	133	133	133	0
shared	mixed	1	262144	2	6	6000	132779666	432000000	132	0	35979392	1336928	34642464	1336928	1905248	322560	4194304	30	2883584	24169418	242000	132	132	132	0
shared	mixed	1	262144	3	6	6000	133800916	432000000	133	0	36217280	1342488	34874792	1342488	1672920	84672	4194304	30	2883584	24129001	257542	133	133	133	0
shared	mixed	1	262144	4	6	6000	133001042	432000000	132	0	35996528	1330552	34665976	1330552	1881736	305424	4194304	30	2883584	23859795	235459	132	132	132	0
shared	mixed	1	262144	5	6	6000	133669833	432000000	133	0	36165872	1339440	34826432	1339440	1721280	136080	4194304	30	2883584	24151208	242875	133	133	133	0
shared	mixed	1	262144	6	6	6000	132502667	432000000	133	0	36234288	1344768	34889520	1344768	1658192	67664	4194304	30	2883584	24352539	244375	133	133	133	0
shared	mixed	3	262144	0	6	6000	135711917	432000000	132	0	38582280	3753864	34828416	1161512	1719296	312024	4194304	28	2555904	25658751	390667	132	132	132	0
shared	mixed	3	262144	1	6	6000	134538958	432000000	133	0	38853288	3777000	35076288	1173992	1471424	51672	4194304	28	2555904	24631082	249834	133	133	133	0
shared	mixed	3	262144	2	6	6000	133868292	432000000	133	0	38851744	3791824	35059920	1170440	1487792	71592	4194304	28	2555904	24797706	253458	133	133	133	0
shared	mixed	3	262144	3	6	6000	134026375	432000000	132	0	38569992	3759064	34810928	1162256	1736784	328768	4194304	28	2555904	24329917	239334	132	132	132	0
shared	mixed	3	262144	4	6	6000	134035584	432000000	133	0	38738480	3758024	34980456	1167504	1567256	153992	4194304	28	2555904	24623163	236541	133	133	133	0
